ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
DCX087970-3,17/08/2026,ENTREGA AGENDADA,"ENTREGA AGENDADA P/ 28/08/26 - CONTATO CAROLINE, FONE 21 98360-8704.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,927,33927419000819�,53153938027227�,DCX,"58.485,12",28/08/26,BARUERI,,0,solucionada
DCX087973-8,17/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 15:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,192397,02462686000168�,54965756000102�,DCX,"6.638,40",19/08/26,SAO BERNARDO DO CAMPO,,1,solucionada
DCX087975-4,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,CONFERIDO NA TOTALIDADE!,PENDENCIA SOLUCIONADA,192400,02462686000168�,23335461000110�,DCX,"6.020,90",17/08/2026,SAO PAULO,,3,solucionada
GYN065201-6,28/07/2026,ENTREGA REALIZADA,"ENTREGUE EM 12/08/26 09:42H E FOI RECEBIDO POR NICOLAS, PARENTESCO: O PROPRIO, DOC N.: 1323101615 (SSWMOBILE)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,ENVIANDO A REENTREGA PARA PARCEIRO,PENDENCIA SOLUCIONADA,1575,64433090000197�,65230509000176�,GYN,"6.127,31",12/08/26,VALENCA,,8,solucionada
GYN065269-5,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 07/08/26 16:00H E FOI RECEBIDO POR GABRIEL CAMPOS, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"ERRO SOMENTE DE ETIQUETAGEM, MATERIAL SEGUIU CORRETO.",PENDENCIA SOLUCIONADA,69153,09034672000192�,24262939000192�,GYN,"113.035,00",07/08/26,BARRA DO PIRAI,,13,solucionada
GYN065271-7,31/07/2026,ENTREGA REALIZADA,ENTREGUE EM 19/08/26 21:15H (OPC 038).,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS EM GYN,PENDENCIA SOLUCIONADA,69152,09034672000192�,50477639000130�,GYN,"27.490,00",19/08/26,APERIBE,,1,solucionada
GYN065277-6,31/07/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1592479,61585865046305�,04247792000154�,FRC,"1.009,58",31/07/2026,SEROPEDICA,,20,solucionada
GYN065285-7,31/07/2026,ENTREGA REALIZADA,ENTREGUE EM 19/08/26 20:59H (OPC 038).,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,E-MAIL ENVIADO COM NUMERO DE TELEFONE E LOCALIZACAO PARA PARC,PENDENCIA SOLUCIONADA,39651,33319245000640�,00010574855785�,GYN,"2.262,56",19/08/26,ITAPERUNA,,1,solucionada
GYN065374-8,04/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26 13:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,3639,40422041000190�,60453002000168�,VIX,"802,68",12/08/26,VIANA,,8,solucionada
GYN065389-6,04/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26, IDENTIFICADA POR CAPTURA MECANICA DE IMAGEM ANEXA. (SSWScan)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1710,64433090000197�,37699896000159�,GYN,"3.566,38",12/08/26,SANTA TERESA,,8,solucionada
